person,time,forbes_rank
alexis_le_quoc,2023,1725
alexis_le_quoc,2024,1143
alexis_le_quoc,2025,1408
alfred_james_clark,2009,601
alfred_james_clark,2010,828
alfred_james_clark,2011,938
alfred_james_clark,2012,719
alfred_james_clark,2013,931
alfred_james_clark,2014,1092
alfred_james_clark,2015,1324
alfred_mann,2002,413
alfred_mann,2004,552
alfred_mann,2005,488
alfred_mann,2006,365
alfred_mann,2007,390
alfred_mann,2008,553
alfred_mann,2009,522
alfred_mann,2010,721
alfred_mann,2011,1140
alfred_mann,2014,1465
alfred_mann,2015,1250
alfred_taubman,2004,552
alfred_taubman,2005,620
alfred_taubman,2006,645
alfred_taubman,2007,488
alfred_taubman,2008,707
alfred_taubman,2009,701
alfred_taubman,2010,655
alfred_taubman,2011,512
alfred_taubman,2012,491
alfred_taubman,2013,490
alfred_taubman,2014,609
alfred_taubman,2015,577
alfred_west_jr,2008,1014
alfred_west_jr,2018,1867
alfred_west_jr,2021,2141
alfred_west_jr,2022,2190
alfred_west_jr,2023,2020
alfred_west_jr,2024,1945
alfred_west_jr,2025,2019
alice_schwartz,2018,2124
alice_schwartz,2019,1941
alice_schwartz,2020,1415
alice_schwartz,2021,1299
alice_schwartz,2022,1445
alice_schwartz,2023,1368
alice_schwartz,2024,1330
alice_schwartz,2025,1850
alice_walton,2001,10
alice_walton,2002,8
alice_walton,2003,7
alice_walton,2004,6
alice_walton,2005,13
alice_walton,2006,20
alice_walton,2007,26
alice_walton,2008,29
alice_walton,2009,12
alice_walton,2010,16
alice_walton,2011,21
alice_walton,2012,17
alice_walton,2013,16
alice_walton,2014,13
alice_walton,2015,11
alice_walton,2016,16
alice_walton,2017,17
alice_walton,2018,16
alice_walton,2019,17
alice_walton,2020,9
alice_walton,2021,17
alice_walton,2022,18
alice_walton,2023,21
alice_walton,2024,21
alice_walton,2025,15
allan_goldman,2017,660
allan_goldman,2018,766
allan_goldman,2019,667
allan_goldman,2020,648
allan_goldman,2021,1008
allan_goldman,2022,1096
amanda_westphal_radcliffe,2025,2790
amar_bose,2005,620
amar_bose,2006,645
amar_bose,2007,664
amar_bose,2008,677
amar_bose,2011,1140
amos_hostetter,2001,130
amos_hostetter,2002,180
amos_hostetter,2003,199
amos_hostetter,2004,247
amos_hostetter,2005,292
amos_hostetter,2006,350
amos_hostetter,2007,336
amos_hostetter,2008,446
amos_hostetter,2009,376
amos_hostetter,2010,421
amos_hostetter,2011,564
amos_hostetter,2012,521
amos_hostetter,2013,527
amos_hostetter,2014,551
amos_hostetter,2015,577
amos_hostetter,2016,569
amos_hostetter,2017,603
amos_hostetter,2018,703
amos_hostetter,2019,667
amos_hostetter,2020,538
amos_hostetter,2021,775
amos_hostetter,2022,801
amos_hostetter,2023,852
amos_hostetter,2024,920
amos_hostetter,2025,948
amy_adams_strunk,2023,1725
amy_adams_strunk,2024,1623
amy_adams_strunk,2025,1763
amy_goldman_fowler,2017,660
amy_goldman_fowler,2018,766
amy_goldman_fowler,2019,667
amy_goldman_fowler,2020,648
amy_goldman_fowler,2021,1008
amy_goldman_fowler,2022,1096
amy_goldman_fowler,2023,1516
amy_goldman_fowler,2024,2545
amy_goldman_fowler,2025,2790
amy_wyss,2015,1044
amy_wyss,2016,1011
amy_wyss,2017,1161
amy_wyss,2018,1215
amy_wyss,2019,1227
amy_wyss,2020,1063
amy_wyss,2021,1580
amy_wyss,2022,1445
amy_wyss,2023,1647
amy_wyss,2024,1623
amy_wyss,2025,1763
anastasia_soare,2019,2057
andrea_reimann_ciardelli,2014,1565
andrea_reimann_ciardelli,2015,1741
andrea_reimann_ciardelli,2016,1694
andrea_reimann_ciardelli,2017,1795
andrea_reimann_ciardelli,2018,1999
andreas_santo_domingo,2015,369
andreas_santo_domingo,2016,286
andreas_santo_domingo,2017,348
andreas_santo_domingo,2018,499
andreas_santo_domingo,2019,645
andreas_santo_domingo,2020,1001
andreas_santo_domingo,2021,1833
andreas_santo_domingo,2022,1818
andreas_santo_domingo,2023,1804
andreas_santo_domingo,2024,1851
andreas_santo_domingo,2025,1947
andrew_beal,2008,785
andrew_beal,2010,176
andrew_beal,2011,149
andrew_beal,2012,133
andrew_beal,2013,131
andrew_beal,2014,109
andrew_beal,2015,105
andrew_beal,2016,115
andrew_beal,2017,127
andrew_beal,2018,132
andrew_beal,2019,158
andrew_beal,2020,179
andrew_beal,2021,311
andrew_beal,2022,201
andrew_beal,2023,170
andrew_beal,2024,173
andrew_beal,2025,199
andrew_bialecki,2024,1330
andrew_bialecki,2025,1072
andrew_cherng,2023,1217
andrew_cherng,2024,1062
andrew_cherng,2025,979
andrew_karam,2022,2448
andrew_karam,2024,2046
andrew_karam,2025,801
andrew_paradise,2021,1362
andrew_peggy_cherng,2013,736
andrew_peggy_cherng,2014,642
andrew_peggy_cherng,2015,603
andrew_peggy_cherng,2016,638
andrew_peggy_cherng,2017,630
andrew_peggy_cherng,2018,729
andrew_peggy_cherng,2019,838
andrew_peggy_cherng,2020,908
andrew_peggy_cherng,2021,1517
andrew_peggy_cherng,2022,951
andrew_tisch,2024,2410
andrew_tisch,2025,2479
andy_fang,2021,1580
andy_fang,2022,2448
andy_fang,2024,2410
andy_fang,2025,2233
aneel_bhusri,2014,1284
aneel_bhusri,2015,1415
aneel_bhusri,2017,1567
aneel_bhusri,2018,1477
aneel_bhusri,2019,962
aneel_bhusri,2020,1267
aneel_bhusri,2021,1111
aneel_bhusri,2022,1163
aneel_bhusri,2023,1368
aneel_bhusri,2024,1062
aneel_bhusri,2025,1172
anita_zucker,2011,692
anita_zucker,2012,719
anita_zucker,2013,554
anita_zucker,2014,663
anita_zucker,2015,847
anita_zucker,2016,1011
anita_zucker,2017,693
anita_zucker,2018,629
anita_zucker,2019,962
anita_zucker,2020,1613
anita_zucker,2021,1664
anita_zucker,2022,1729
anita_zucker,2023,1575
anita_zucker,2024,1438
anita_zucker,2025,1573
ankur_jain,2024,2410
ankur_jain,2025,2623
ann_walton_kroenke,2001,124
ann_walton_kroenke,2002,144
ann_walton_kroenke,2003,132
ann_walton_kroenke,2004,143
ann_walton_kroenke,2005,194
ann_walton_kroenke,2006,278
ann_walton_kroenke,2007,336
ann_walton_kroenke,2008,412
ann_walton_kroenke,2009,246
ann_walton_kroenke,2010,297
ann_walton_kroenke,2011,323
ann_walton_kroenke,2012,288
ann_walton_kroenke,2013,276
ann_walton_kroenke,2014,305
ann_walton_kroenke,2015,265
ann_walton_kroenke,2016,324
ann_walton_kroenke,2017,239
ann_walton_kroenke,2018,251
ann_walton_kroenke,2019,244
ann_walton_kroenke,2020,179
ann_walton_kroenke,2021,294
ann_walton_kroenke,2022,227
ann_walton_kroenke,2023,239
ann_walton_kroenke,2024,224
ann_walton_kroenke,2025,189
anne_cox_chambers,2001,21
anne_cox_chambers,2002,21
anne_cox_chambers,2003,18
anne_cox_chambers,2004,23
anne_cox_chambers,2005,27
anne_cox_chambers,2006,29
anne_cox_chambers,2007,45
anne_cox_chambers,2008,62
anne_cox_chambers,2009,43
anne_cox_chambers,2010,64
anne_cox_chambers,2011,53
anne_cox_chambers,2012,61
anne_cox_chambers,2013,80
anne_cox_chambers,2014,58
anne_cox_chambers,2015,53
anne_gittinger,2013,1175
anne_gittinger,2014,1270
anne_gittinger,2015,1054
anne_gittinger,2016,1367
anne_gittinger,2017,1678
anne_gittinger,2018,1756
anne_gittinger,2019,1717
anne_gittinger,2021,2524
annette_lerner,2023,390
annette_lerner,2024,432
annette_lerner,2025,620
anthony_casalena,2022,2190
anthony_casalena,2023,2133
anthony_casalena,2024,1945
anthony_casalena,2025,1688
anthony_hsieh,2021,1205
anthony_pritzker,2005,437
anthony_pritzker,2006,451
anthony_pritzker,2007,488
anthony_pritzker,2008,503
anthony_pritzker,2009,601
anthony_pritzker,2010,721
anthony_pritzker,2011,736
anthony_pritzker,2012,464
anthony_pritzker,2013,458
anthony_pritzker,2014,520
anthony_pritzker,2015,512
anthony_pritzker,2016,527
anthony_pritzker,2017,564
anthony_pritzker,2018,652
anthony_pritzker,2019,667
anthony_pritzker,2020,538
anthony_pritzker,2021,831
anthony_pritzker,2022,801
anthony_pritzker,2023,766
anthony_pritzker,2024,871
anthony_pritzker,2025,887
anthony_wood,2019,1941
anthony_wood,2020,1335
anthony_wood,2021,358
anthony_wood,2022,1292
anthony_wood,2023,1804
anthony_wood,2024,1851
anthony_wood,2025,1850
antonio_gracias,2024,2545
antonio_gracias,2025,1626
antony_ressler,2015,1250
antony_ressler,2016,1577
antony_ressler,2017,1161
antony_ressler,2018,1215
antony_ressler,2019,1116
antony_ressler,2020,764
antony_ressler,2021,665
antony_ressler,2022,460
antony_ressler,2023,437
antony_ressler,2024,210
antony_ressler,2025,213
archie_aldis_emerson,2001,421
archie_aldis_emerson,2002,378
archie_aldis_emerson,2003,427
archie_aldis_emerson,2004,472
archie_aldis_emerson,2005,437
archie_aldis_emerson,2006,512
archie_aldis_emerson,2007,618
archie_aldis_emerson,2008,573
archie_aldis_emerson,2009,376
archie_aldis_emerson,2010,421
archie_aldis_emerson,2011,459
archie_aldis_emerson,2012,464
archie_aldis_emerson,2013,458
archie_aldis_emerson,2014,520
archie_aldis_emerson,2015,481
archie_aldis_emerson,2016,435
archie_aldis_emerson,2017,501
archie_aldis_emerson,2018,514
archie_aldis_emerson,2019,546
archie_aldis_emerson,2020,836
archie_aldis_emerson,2021,956
archie_aldis_emerson,2022,883
archie_aldis_emerson,2023,466
archie_aldis_emerson,2024,563
archie_aldis_emerson,2025,597
arnold_schwarzenegger,2025,2790
art_levinson,2022,2076
art_levinson,2023,2133
art_levinson,2024,2545
art_levinson,2025,2233
arthur_blank,2001,251
arthur_blank,2002,277
arthur_blank,2004,472
arthur_blank,2005,488
arthur_blank,2006,606
arthur_blank,2007,717
arthur_blank,2008,897
arthur_blank,2009,601
arthur_blank,2010,773
arthur_blank,2011,938
arthur_blank,2012,913
arthur_blank,2013,931
arthur_blank,2014,988
arthur_blank,2015,737
arthur_blank,2016,666
arthur_blank,2017,581
arthur_blank,2018,527
arthur_blank,2019,394
arthur_blank,2020,375
arthur_blank,2021,432
arthur_blank,2022,336
arthur_blank,2023,299
arthur_blank,2024,304
arthur_blank,2025,329
arthur_dantchik,2023,317
arthur_dantchik,2024,391
arthur_dantchik,2025,153
arthur_levine,2025,2479
arturo_moreno,2001,387
arturo_moreno,2006,645
arturo_moreno,2007,799
arturo_moreno,2008,962
arturo_moreno,2010,937
arturo_moreno,2011,1140
arturo_moreno,2013,1250
arturo_moreno,2014,1284
arturo_moreno,2015,1250
arturo_moreno,2016,1011
arturo_moreno,2017,973
arturo_moreno,2018,965
arturo_moreno,2019,745
arturo_moreno,2020,590
arturo_moreno,2021,891
arturo_moreno,2022,822
arturo_moreno,2023,679
arturo_moreno,2024,624
arturo_moreno,2025,717
aubrey_mcclendon,2007,664
aubrey_mcclendon,2008,412
aubrey_mcclendon,2010,937
aubrey_mcclendon,2011,993
aubrey_mcclendon,2012,1075
august_troendle,2021,2035
august_troendle,2022,2190
august_troendle,2023,1804
august_troendle,2024,991
august_troendle,2025,1362
austen_cargill_ii,2009,559
austen_cargill_ii,2010,582
austen_cargill_ii,2011,488
austen_cargill_ii,2012,804
austen_cargill_ii,2013,641
austen_cargill_ii,2014,506
austen_cargill_ii,2015,534
austen_cargill_ii,2016,527
austen_cargill_ii,2017,460
austen_cargill_ii,2018,514
austen_cargill_ii,2019,504
austen_cargill_ii,2020,764
austen_cargill_ii,2021,831
austen_cargill_ii,2022,552
austen_cargill_ii,2023,721
austen_cargill_ii,2024,756
austen_cargill_ii,2025,868
austin_hearst,2004,472
austin_hearst,2005,366
austin_hearst,2006,410
austin_hearst,2007,488
austin_hearst,2008,573
austin_hearst,2009,522
austin_hearst,2010,655
austin_hearst,2011,692
austin_hearst,2012,683
austin_russel,2021,1299
austin_russel,2022,1818
autry_stephens,2022,552
autry_stephens,2023,182
autry_stephens,2024,83
avram_glazer,2024,1851
avram_glazer,2025,2019
axel_stawski,2017,1940
axel_stawski,2018,2124
axel_stawski,2019,2057
axel_stawski,2020,1990
axel_stawski,2021,2674
axel_stawski,2022,2578
axel_stawski,2023,1905
axel_stawski,2024,2692
axel_stawski,2025,2933
b_wayne_hughes_jr,2015,1415
b_wayne_hughes_jr,2016,1275
b_wayne_hughes_jr,2017,1567
b_wayne_hughes_jr,2018,1867
b_wayne_hughes_jr,2019,1605
b_wayne_hughes_jr,2020,1613
b_wayne_hughes_jr,2021,1931
b_wayne_hughes_jr,2022,1397
b_wayne_hughes_jr,2023,1575
b_wayne_hughes_jr,2024,1545
b_wayne_hughes_jr,2025,1626
baiju_bhatt,2021,2674
baiju_bhatt,2024,2545
baiju_bhatt,2025,1305
barbara_banke,2025,1408
barbara_carlson_gage,2001,363
barbara_carlson_gage,2002,327
barbara_carlson_gage,2003,348
barbara_carlson_gage,2004,406
barbara_carlson_gage,2005,488
barbara_carlson_gage,2006,562
barbara_carlson_gage,2007,488
barbara_carlson_gage,2008,553
barbara_carlson_gage,2009,601
barbara_carlson_gage,2010,616
barbara_carlson_gage,2011,782
barbara_carlson_gage,2012,491
barbara_carlson_gage,2013,316
barbara_carlson_gage,2014,340
barbara_carlson_gage,2015,1638
barbara_piasecka_johnson,2001,209
barbara_piasecka_johnson,2002,168
barbara_piasecka_johnson,2003,162
barbara_piasecka_johnson,2004,216
barbara_piasecka_johnson,2005,203
barbara_piasecka_johnson,2006,278
barbara_piasecka_johnson,2007,323
barbara_piasecka_johnson,2008,428
barbara_piasecka_johnson,2009,246
barbara_piasecka_johnson,2010,316
barbara_piasecka_johnson,2011,393
barbara_piasecka_johnson,2012,358
barbara_piasecka_johnson,2013,376
barbara_tyson,2023,1434
barbara_tyson,2024,1545
barbara_tyson,2025,1462
barry_diller,2001,490
barry_diller,2002,413
barry_diller,2004,406
barry_diller,2005,507
barry_diller,2006,606
barry_diller,2007,717
barry_diller,2008,897
barry_diller,2009,701
barry_diller,2010,828
barry_diller,2011,938
barry_diller,2012,804
barry_diller,2013,792
barry_diller,2014,731
barry_diller,2015,810
barry_diller,2016,771
barry_diller,2017,717
barry_diller,2018,766
barry_diller,2019,568
barry_diller,2020,680
barry_diller,2021,680
barry_diller,2022,654
barry_diller,2023,748
barry_diller,2024,756
barry_diller,2025,767
barry_silbert,2021,1931
barry_silbert,2022,951
barry_sternlicht,2020,680
barry_sternlicht,2021,807
barry_sternlicht,2022,665
barry_sternlicht,2023,591
barry_sternlicht,2024,835
barry_sternlicht,2025,1305
behdad_eghbali,2020,1063
behdad_eghbali,2021,1008
behdad_eghbali,2022,883
behdad_eghbali,2023,636
behdad_eghbali,2024,835
behdad_eghbali,2025,823
ben_ashkenazy,2018,550
ben_ashkenazy,2019,504
ben_ashkenazy,2020,538
ben_ashkenazy,2021,1064
ben_ashkenazy,2022,1163
ben_ashkenazy,2023,1164
ben_ashkenazy,2024,1945
ben_ashkenazy,2025,2110
ben_chestnut,2019,1116
ben_chestnut,2020,945
ben_chestnut,2021,1008
ben_chestnut,2022,552
ben_chestnut,2023,699
ben_chestnut,2024,612
ben_chestnut,2025,717
ben_lamm,2025,979
ben_navarro,2024,2046
ben_navarro,2025,751
ben_silbermann,2016,1121
ben_silbermann,2017,1290
ben_silbermann,2018,1477
ben_silbermann,2019,1425
ben_silbermann,2021,752
ben_silbermann,2022,2076
ben_silbermann,2023,1905
ben_silbermann,2024,1623
ben_silbermann,2025,1850
bennet_rosenthal,2023,2259
bennet_rosenthal,2024,1545
bennet_rosenthal,2025,1573
bennett_dorrance,2001,336
bennett_dorrance,2002,293
bennett_dorrance,2003,348
bennett_dorrance,2004,377
bennett_dorrance,2005,413
bennett_dorrance,2006,451
bennett_dorrance,2007,432
bennett_dorrance,2008,573
bennett_dorrance,2009,376
bennett_dorrance,2010,488
bennett_dorrance,2011,595
bennett_dorrance,2012,719
bennett_dorrance,2013,882
bennett_dorrance,2014,869
bennett_dorrance,2015,810
bennett_dorrance,2016,569
bennett_dorrance,2017,603
bennett_dorrance,2018,887
bennett_dorrance,2019,1008
bennett_dorrance,2020,680
bennett_dorrance,2021,1064
bennett_dorrance,2022,1096
bennett_dorrance,2023,878
bennett_dorrance,2024,1062
bennett_dorrance,2025,1072
benoit_dageville,2021,1664
benoit_dageville,2022,2076
benoit_dageville,2023,2540
benoit_dageville,2024,2410
benoit_dageville,2025,2623
bernard_marcus,2001,130
bernard_marcus,2002,127
bernard_marcus,2003,303
bernard_marcus,2004,247
bernard_marcus,2005,258
bernard_marcus,2006,350
bernard_marcus,2007,432
bernard_marcus,2008,743
bernard_marcus,2009,601
bernard_marcus,2010,655
bernard_marcus,2011,651
bernard_marcus,2012,546
bernard_marcus,2013,437
bernard_marcus,2014,446
bernard_marcus,2015,452
bernard_marcus,2016,495
bernard_marcus,2017,441
bernard_marcus,2018,382
bernard_marcus,2019,337
bernard_marcus,2020,375
bernard_marcus,2021,352
bernard_marcus,2022,241
bernard_marcus,2023,261
bernard_marcus,2024,216
bernard_saul_ii,2006,512
bernard_saul_ii,2007,538
bernard_saul_ii,2008,743
bernard_saul_ii,2010,828
bernard_saul_ii,2011,993
bernard_saul_ii,2012,1075
bernard_saul_ii,2013,1175
bernard_saul_ii,2014,764
bernard_saul_ii,2015,714
bernard_saul_ii,2016,612
bernard_saul_ii,2017,522
bernard_saul_ii,2018,652
bernard_saul_ii,2019,597
bernard_saul_ii,2020,712
bernard_saul_ii,2021,925
bernard_saul_ii,2022,801
bernard_saul_ii,2023,699
bernard_saul_ii,2024,1286
bernard_saul_ii,2025,1362
bert_beveridge,2018,965
bert_beveridge,2019,504
bert_beveridge,2020,616
bert_beveridge,2021,622
bert_beveridge,2022,637
bert_beveridge,2023,591
bert_beveridge,2024,403
bert_beveridge,2025,751
bharat_desai,2008,785
bharat_desai,2009,701
bharat_desai,2010,721
bharat_desai,2011,540
bharat_desai,2012,913
bharat_desai,2013,736
bharat_desai,2014,731
bharat_desai,2015,714
bharat_desai,2016,688
bharat_desai,2017,1940
bharat_desai,2018,1999
bharat_desai,2019,1605
bharat_desai,2020,1513
bharat_desai,2021,2035
bharat_desai,2022,1929
bharat_desai,2023,1905
bharat_desai,2024,1945
bharat_desai,2025,2110
bijan_tehrani,2025,1305
bill_alfond,2016,1577
bill_alfond,2017,1468
bill_alfond,2018,1561
bill_alfond,2019,1425
bill_alfond,2020,1513
bill_alfond,2021,1362
bill_alfond,2022,1096
bill_alfond,2023,1217
bill_alfond,2024,1062
bill_alfond,2025,1045
bill_cummings,2025,2933
bill_gates,2001,1
bill_gates,2002,1
bill_gates,2003,1
bill_gates,2004,1
bill_gates,2005,1
bill_gates,2006,1
bill_gates,2007,1
bill_gates,2008,3
bill_gates,2009,1
bill_gates,2010,2
bill_gates,2011,2
bill_gates,2012,2
bill_gates,2013,2
bill_gates,2014,1
bill_gates,2015,1
bill_gates,2016,1
bill_gates,2017,1
bill_gates,2018,2
bill_gates,2019,2
bill_gates,2020,2
bill_gates,2021,4
bill_gates,2022,4
bill_gates,2023,6
bill_gates,2024,7
bill_gates,2025,13
bill_gross,2005,620
bill_gross,2006,698
bill_gross,2007,799
bill_gross,2008,897
bill_gross,2009,376
bill_gross,2010,488
bill_gross,2011,564
bill_gross,2012,578
bill_gross,2013,641
bill_gross,2014,764
bill_gross,2015,810
bill_gross,2016,906
bill_gross,2017,814
bill_gross,2018,1284
bill_gross,2019,1511
bill_gross,2020,1415
bill_gross,2021,2035
bill_gross,2022,1818
bill_gross,2023,1804
bill_gross,2024,1851
bill_gross,2025,2019
bill_haslam,2015,1006
bill_haslam,2016,1121
bill_haslam,2017,782
bill_haslam,2018,1070
bill_haslam,2019,1281
bill_haslam,2020,1335
bill_haslam,2021,1664
bill_haslam,2022,1341
bill_haslam,2023,1217
bill_haslam,2024,597
bill_haslam,2025,700
bill_marriott_jr,2001,421
bill_marriott_jr,2002,445
bill_marriott_jr,2004,472
bill_marriott_jr,2005,413
bill_marriott_jr,2006,486
bill_marriott_jr,2007,458
bill_marriott_jr,2008,707
bill_marriott_jr,2010,773
bill_marriott_jr,2011,651
bill_marriott_jr,2012,804
bill_marriott_jr,2013,868
bill_marriott_jr,2014,796
blair_parry_okeden,2008,154
blair_parry_okeden,2009,110
blair_parry_okeden,2010,154
blair_parry_okeden,2011,145
blair_parry_okeden,2012,157
blair_parry_okeden,2013,198
blair_parry_okeden,2014,168
blair_parry_okeden,2015,156
blair_parry_okeden,2016,108
blair_parry_okeden,2017,105
blair_parry_okeden,2018,108
blair_parry_okeden,2019,153
blair_parry_okeden,2020,185
blair_parry_okeden,2021,247
blair_parry_okeden,2022,296
blair_parry_okeden,2023,242
blair_parry_okeden,2024,477
blair_parry_okeden,2025,507
bob_parsons,2012,854
bob_parsons,2013,974
bob_parsons,2014,931
bob_parsons,2015,1054
bob_parsons,2016,906
bob_parsons,2017,814
bob_parsons,2018,887
bob_parsons,2019,916
bob_parsons,2020,764
bob_parsons,2021,1444
bob_parsons,2022,883
bob_parsons,2023,852
bob_parsons,2024,896
bob_parsons,2025,929
bob_pender,2025,323
bobby_murphy,2015,1250
bobby_murphy,2016,1011
bobby_murphy,2017,441
bobby_murphy,2018,514
bobby_murphy,2019,1116
bobby_murphy,2020,1135
bobby_murphy,2021,185
bobby_murphy,2022,403
bobby_murphy,2023,1217
bobby_murphy,2024,1187
bobby_murphy,2025,1573
bom_suk_kim,2020,1990
bom_suk_kim,2021,2674
bom_suk_kim,2022,984
bom_suk_kim,2023,1312
bom_suk_kim,2024,1033
bom_suk_kim,2025,929
boris_jordan,2021,1362
boris_jordan,2022,2578
brad_jacobs,2018,1070
brad_jacobs,2019,1349
brad_jacobs,2020,1415
brad_jacobs,2021,1064
brad_jacobs,2022,801
brad_jacobs,2023,766
brad_jacobs,2024,775
brad_jacobs,2025,199
brad_kelley,2006,606
brad_kelley,2007,664
brad_kelley,2008,743
brad_kelley,2009,468
brad_kelley,2010,655
brad_kelley,2011,833
brad_kelley,2012,764
brad_kelley,2013,792
brad_kelley,2014,869
brad_kelley,2015,894
brad_kelley,2016,810
brad_kelley,2017,939
brad_kelley,2018,1070
